,Exp,k2a,nbar,correlated,maj_vote,name,N_data,N_ancilla
0,PhaseFlipsCorrelationSFBNoIdle,1,4,1,0,Correlated,2,2
1,PhaseFlipsCorrelationSFBNoIdle,1,4,0,0,Uncorrelated,2,2
2,PhaseFlipsCorrelationSFBNoIdle,3,4,1,0,Correlated,2,2
3,PhaseFlipsCorrelationSFBNoIdle,3,4,0,0,Uncorrelated,2,2
4,PhaseFlipsCorrelationSFBNoIdle,5,4,1,0,Correlated,2,2
5,PhaseFlipsCorrelationSFBNoIdle,5,4,0,0,Uncorrelated,2,2
6,PhaseFlipsCorrelationSFBNoIdle,7,4,1,0,Correlated,2,2
7,PhaseFlipsCorrelationSFBNoIdle,7,4,0,0,Uncorrelated,2,2
8,PhaseFlipsCorrelationSFBNoIdle,9,4,1,0,Correlated,2,2
9,PhaseFlipsCorrelationSFBNoIdle,9,4,0,0,Uncorrelated,2,2
10,PhaseFlipsCorrelationSFBNoIdle,11,4,1,0,Correlated,2,2
11,PhaseFlipsCorrelationSFBNoIdle,11,4,0,0,Uncorrelated,2,2
12,PhaseFlipsCorrelationSFBNoIdle,1,6,1,0,Correlated,2,2
13,PhaseFlipsCorrelationSFBNoIdle,1,6,0,0,Uncorrelated,2,2
14,PhaseFlipsCorrelationSFBNoIdle,3,6,1,0,Correlated,2,2
15,PhaseFlipsCorrelationSFBNoIdle,3,6,0,0,Uncorrelated,2,2
16,PhaseFlipsCorrelationSFBNoIdle,5,6,1,0,Correlated,2,2
17,PhaseFlipsCorrelationSFBNoIdle,5,6,0,0,Uncorrelated,2,2
18,PhaseFlipsCorrelationSFBNoIdle,7,6,1,0,Correlated,2,2
19,PhaseFlipsCorrelationSFBNoIdle,7,6,0,0,Uncorrelated,2,2
20,PhaseFlipsCorrelationSFBNoIdle,9,6,1,0,Correlated,2,2
21,PhaseFlipsCorrelationSFBNoIdle,9,6,0,0,Uncorrelated,2,2
22,PhaseFlipsCorrelationSFBNoIdle,11,6,1,0,Correlated,2,2
23,PhaseFlipsCorrelationSFBNoIdle,11,6,0,0,Uncorrelated,2,2
24,PhaseFlipsCorrelationSFBNoIdle,1,8,1,0,Correlated,2,2
25,PhaseFlipsCorrelationSFBNoIdle,1,8,0,0,Uncorrelated,2,2
